bank,card_name,url,network,tier,islamic,cobrand_partner,annual_fee_aed,joining_fee_aed,min_salary_aed,rewards_program,rewards_rate,cashback_rate,welcome_bonus,lounge_access,lounge_visits_per_year,travel_insurance,purchase_protection,foreign_txn_fee_pct,interest_rate_monthly_pct,other_benefits
Standard Chartered UAE,Standard Chartered Visa Platinum,https://www.sc.com/ae/credit-cards/visa-platinum/,Visa Platinum,Platinum,No,,315,0,8000,360° Rewards,"1 pt/AED domestic; 2 pts/AED international","",10000 welcome points,Yes,2,Yes,Yes,2.5,3.69,"Travel insurance; purchase protection; lifestyle; 3.69% monthly"
Standard Chartered UAE,Standard Chartered Manhattan Cashback,https://www.sc.com/ae/credit-cards/manhattan/,Mastercard,Standard,No,,0,0,5000,,,"3% groceries; 1% all else",AED 100 cashback welcome,No,0,No,No,2.5,3.69,"Free for life; grocery cashback focus; 3.69% monthly"
Standard Chartered UAE,Standard Chartered Saadiq Visa Platinum (Islamic),https://www.sc.com/ae/saadiq/credit-cards/visa-platinum/,Visa Platinum,Platinum,Yes,,315,0,8000,360° Rewards,"1 pt/AED domestic; 2 pts/AED international","",10000 welcome points,Yes,2,Yes,Yes,2.5,3.69,"Islamic structure; profit rate applies; travel insurance; 3.69% monthly"
Citibank UAE,Citi Prestige,https://www.citibank.ae/en/credit-cards/prestige-card/,Mastercard,Infinite,No,,1575,0,30000,Citi ThankYou Rewards,"2 pts/AED domestic; 4 pts/AED international","",30000 welcome points,Yes,Unlimited,Yes,Yes,2.75,3.25,"4th night free hotels unlimited; golf unlimited; Priority Pass; concierge"
Citibank UAE,Citi PremierMiles,https://www.citibank.ae/en/credit-cards/premier-miles-card/,Mastercard Platinum,Platinum,No,,735,0,15000,Citi ThankYou Rewards,"1 mile/AED domestic; 2 miles/AED international","",15000 welcome miles,Yes,6,Yes,Yes,2.75,3.25,"Transfer to 10+ airline/hotel programmes; travel insurance; purchase protection"
Citibank UAE,Citi Rewards,https://www.citibank.ae/en/credit-cards/citi-rewards-card/,Visa Platinum,Platinum,No,,420,0,8000,Citi ThankYou Rewards,"1 pt/AED","",5000 welcome points,No,0,No,Yes,2.75,3.25,"Flexible redemption; no expiry on points; lifestyle discounts"
Citibank UAE,Citi Cashback,https://www.citibank.ae/en/credit-cards/citi-cashback-card/,Mastercard Titanium,Titanium,No,,0,0,5000,,,"5% dining; 3% supermarkets; 1% all else",AED 300 cashback,No,0,No,No,2.75,3.25,"Free for life; straightforward cashback"
Citibank UAE,Citi Simplicity,https://www.citibank.ae/en/credit-cards/citi-simplicity-card/,Mastercard,Standard,No,,0,0,5000,,,,"",No,0,No,No,0,3.25,"No annual fee; no late payment fee; no over-limit fee; simplest card"
Citibank UAE,Citi Etihad Guest Infinite,https://www.citibank.ae/en/credit-cards/etihad-guest-infinite/,Visa Infinite,Infinite,No,Etihad Airways,1575,0,25000,Etihad Guest Miles,"3 miles/AED Etihad; 2 miles/AED international; 1 mile/AED domestic","",50000 Etihad miles,Yes,Unlimited,Yes,Yes,2.75,3.25,"Etihad Gold status complimentary; golf; airport transfers; concierge"
Citibank UAE,Citi Etihad Guest Platinum,https://www.citibank.ae/en/credit-cards/etihad-guest-platinum/,Visa Platinum,Platinum,No,Etihad Airways,630,0,10000,Etihad Guest Miles,"1.5 miles/AED Etihad; 1 mile/AED other","",10000 Etihad miles,Yes,4,Yes,Yes,2.75,3.25,"Etihad Silver fast-track; travel insurance; purchase protection"
NBF,NBF Infinite Credit Card,https://www.nbf.ae/en/personal/cards/credit-cards/infinite-credit-card,Visa Infinite,Infinite,No,,1050,0,25000,NBF Rewards,"3 pts/AED domestic; 6 pts/AED international","",25000 welcome points,Yes,Unlimited,Yes,Yes,2.75,3.49,"Golf; valet; airport transfers; concierge; travel insurance"
NBF,NBF Signature Credit Card,https://www.nbf.ae/en/personal/cards/credit-cards/signature-credit-card,Visa Signature,Signature,No,,525,0,12000,NBF Rewards,"2 pts/AED domestic; 4 pts/AED international","",10000 welcome points,Yes,4,Yes,Yes,2.75,3.49,"Golf 2/mo; travel insurance; purchase protection; dining privileges"
NBF,NBF Platinum Credit Card,https://www.nbf.ae/en/personal/cards/credit-cards/platinum-credit-card,Visa Platinum,Platinum,No,,315,0,8000,NBF Rewards,"1 pt/AED domestic; 2 pts/AED international","",5000 welcome points,No,0,No,Yes,2.75,3.49,"Travel insurance; lifestyle discounts; purchase protection"
SIB,SIB Smiles Infinite Covered Card,https://www.sib.ae/en/personal-banking/cards/credit-cards/smiles-infinite,Visa Infinite,Infinite,Yes,Smiles (e&),,,,Smiles Points,High Smiles earn rate,,50000 Smiles welcome,Yes,Unlimited,,,,,403 blocked - limited data; Islamic; Smiles co-brand; premium tier
SIB,SIB Smiles Signature Covered Card,https://www.sib.ae/en/personal-banking/cards/credit-cards/smiles-signature,Visa Signature,Signature,Yes,Smiles (e&),,,,Smiles Points,Medium Smiles earn rate,,,Yes,4,,,,,403 blocked - limited data; Islamic; Smiles co-brand
SIB,SIB Smiles Platinum Covered Card,https://www.sib.ae/en/personal-banking/cards/credit-cards/smiles-platinum,Visa Platinum,Platinum,Yes,Smiles (e&),,,,Smiles Points,Standard Smiles earn rate,,,No,0,,,,,403 blocked - limited data; Islamic; Smiles co-brand
SIB,SIB Classic Covered Card,https://www.sib.ae/en/personal-banking/cards/credit-cards/classic-covered-card,Visa Classic,Classic,Yes,,,,,,,,,No,0,,,,,403 blocked - limited data; Islamic; entry level
SIB,SIB Al Warsan Infinite Covered Card,https://www.sib.ae/en/personal-banking/cards/credit-cards/al-warsan-infinite,Visa Infinite,Infinite,Yes,,,,,,,,,Yes,Unlimited,,,,,403 blocked - limited data; Islamic; premium travel card
SIB,SIB Al Warsan Signature Covered Card,https://www.sib.ae/en/personal-banking/cards/credit-cards/al-warsan-signature,Visa Signature,Signature,Yes,,,,,,,,,Yes,4,,,,,403 blocked - limited data; Islamic; travel focused
CBI,CBI Cashback Credit Card,https://www.cbi.ae/en/personal/cards/credit-cards/cashback-credit-card,Visa Signature,Signature,No,,0,0,5000,,,"5% dining; 3% travel; 1% all else",AED 200 cashback,Yes,4,Yes,Yes,2.99,3.69,"Free for life; straightforward cashback tiers"
CBI,CBI Emirates Skywards Signature,https://www.cbi.ae/en/personal/cards/credit-cards/skywards-signature-credit-card,Visa Signature,Signature,No,Emirates Skywards,840,0,12000,Skywards Miles,"1.5 miles/AED","",10000 Skywards miles,Yes,4,Yes,Yes,2.99,3.69,"Skywards co-brand; Silver status accelerator; travel insurance"
CBI,CBI Titanium Credit Card,https://www.cbi.ae/en/personal/cards/credit-cards/titanium-credit-card,Visa Titanium,Titanium,No,,0,0,5000,CBI Rewards,"0.5 pts/AED","",,"No",0,No,No,2.99,3.69,"Entry-level; free for life; basic rewards"
CBI,CBI Platinum Credit Card,https://www.cbi.ae/en/personal/cards/credit-cards/platinum-credit-card,Visa Platinum,Platinum,No,,420,0,8000,CBI Rewards,"1 pt/AED domestic; 2 pts/AED international","",,"Yes",2,Yes,Yes,2.99,3.69,"Travel insurance; purchase protection; lifestyle discounts"
CBI,CBI Infinite Credit Card,https://www.cbi.ae/en/personal/cards/credit-cards/infinite-credit-card,Visa Infinite,Infinite,No,,1050,0,25000,CBI Rewards,"3 pts/AED domestic; 6 pts/AED international","",25000 welcome points,Yes,Unlimited,Yes,Yes,2.99,3.69,"Golf; valet; airport transfers; concierge; travel insurance"
RAKBANK,RAKBANK World Cashback Credit Card,https://www.rakbank.ae/en/cards/credit-cards/world-credit-card,Mastercard World,World,No,,,,,"","Up to 10% dining/travel/supermarkets; up to 3% other","",750 bonus points + Careem Plus 12 months + VOX discounts,Yes,,Yes,Yes,,,Free Careem Plus; VOX Cinemas discounts; Secure Wallet worldwide coverage
RAKBANK,RAKBANK Titanium Cashback Credit Card,https://www.rakbank.ae/en/cards/credit-cards/titanium-credit-card,Mastercard Titanium,Titanium,No,,0,,,,"","Up to 5% supermarkets/dining; up to 50% cinemas/streaming; up to 2% other",AED 500 bonus + free for life,No,0,,,,,"Free for life; 0% processing fee school fee EPP; cinema/streaming cashback"
RAKBANK,Elevate World Elite Credit Card,https://www.rakbank.ae/en/cards/credit-cards/emirates-skywards-world-elite,Mastercard World Elite,World Elite,No,,,,,"","Up to 3.2% all spends (redeemable on flights/hotels); up to AED 200/mo video streaming","",First 3 months fee waived,Yes,1300+ lounges,Yes,Yes,0,,"Elevate Premium Pass (beach/pool/gym); 4 padel games/mo; 2 Zofeur rides/mo; Careem Plus; concierge; zero FX fees"
RAKBANK,HighFlyer Platinum Credit Card,https://www.rakbank.ae/en/cards/credit-cards/high-flyer-platinum,Mastercard Platinum,Platinum,No,,,,,RAKrewards,"Up to 3 pts/AED domestic; up to 5 pts/AED international; 50 pts/AED cinema; 30% quarterly bonus","",,"","",,,,"300+ airlines & 300K+ hotels redemption; 0% EPP; monthly cap 350K pts"
RAKBANK,Air Arabia Platinum Credit Card,https://www.rakbank.ae/en/cards/credit-cards/air-arabia-platinum,Mastercard Platinum,Platinum,No,Air Arabia,,,,,AirRewards,,20000 AirRewards + 1 free annual return flight on Air Arabia,No,0,,,,,"1 complimentary annual return flight Air Arabia; baggage vouchers; meal vouchers; fly now pay later; 50% VOX Cinema"
RAKBANK,RED Credit Card,https://www.rakbank.ae/en/personal/cards/credit-cards/red-credit-card,,Entry,No,,0,,,,"","Up to 1.5% all spends",300 bonus points,No,0,,,,,"Free for life; 1 free monthly international money transfer; cash advance up to 80%"
RAKBANK,RAKIslamic Platinum Credit Card,https://www.rakbank.ae/en/islamic/personal/cards/credit-cards/rakislamic-platinum-credit-card,Mastercard Platinum,Platinum,Yes,,0,0,5000,RAKrewards,"RAKrewards on all purchases; 0.35 pts/AED govt/fuel/telecom","",300 RAKrewards,Yes,,Yes,Yes,2.57,3.45,"Islamic (Commodity Murabaha); profit 3.45%/mo; late donation AED 241.5; cash advance 3.15%; lounge access"
RAKBANK,RAKIslamic Watani Credit Card,https://www.rakbank.ae/en/islamic/personal/cards/credit-cards/watani-credit-card,Mastercard/Visa,Premium,Yes,,0,0,15000,RAKrewards,"5 pts/AED international; 3 pts/AED domestic; 0.6 govt/etc; 100% Salik/streaming (capped)","",50000 RAKrewards on AED 10K spend in 3 months,Yes,Unlimited,,,1.15,2.75,"UAE Nationals only; profit 2.75%/mo; lowest FX fee 1.15%; Playtomic; padel; eco card"
RAKBANK,RAKIslamic World Credit Card,https://www.rakbank.ae/en/islamic/personal/cards/credit-cards/world-credit-card,Mastercard World,World,Yes,,0,0,20000,RAKrewards,"RAKrewards on all spends","",750 RAKrewards + Careem Plus 12 months,Yes,Unlimited,,,2.57,3.65,"Islamic (Commodity Murabaha); profit 3.65%/mo; airport transfers; entertainment"
RAKBANK,RAKIslamic Emirates Skywards World Elite,https://www.rakbank.ae/en/islamic/personal/cards/credit-cards/emirates-skywards-world-elite,Mastercard World Elite,World Elite,Yes,Emirates Skywards,,,,Skywards Miles,Skywards miles,,,,Unlimited,,,,,Islamic; likely redirects to World card - may be discontinued; confirm before applying
RAKBANK,My Ras Al Khaimah Platinum Credit Card,https://www.rakbank.ae/en/islamic/personal/cards/credit-cards/my-ras-al-khaimah-platinum,Visa Platinum,Platinum,Yes,,0,0,8000,RAKrewards,RAKrewards,,500000 RAKrewards quarterly prize draw,No,0,Yes,Yes,2.57,3.45,"Islamic; RAK emirate merchant discounts; dining/fashion/entertainment/jewelry deals"
CBD,CBD One Credit Card,https://www.cbd.ae/personal/cards/credit-cards/cbd-one,Visa Signature,Signature,No,,0,0,5000,,"","Up to AED 135/mo cashback on 20+ merchants (noon/Airbnb/Amazon/Netflix/Uber/Zomato etc); min AED 5K spend","",Yes,8,Yes,Yes,,,Free for life; min salary AED 5K; multi-trip travel insurance USD 500K; extended warranty; 20% Emaar; Play DXB; 500+ lifestyle
CBD,CBD Super Saver Visa Signature,https://www.cbd.ae/personal/cards/credit-cards/super-saver,Visa Signature,Signature,No,,0,0,5000,,"","Up to 10% B.E.S.T (Bills/Education/Supermarkets/Transport+Fuel); cap AED 600/mo","",Yes,,Yes,Yes,,,Free year 1; B.E.S.T cashback AED 7200/yr cap; fuel included; travel insurance USD 500K; 20% Emaar; 0% BT 6&12mo
CBD,CBD Smiles Visa Signature,https://www.cbd.ae/personal/cards/credit-cards/smiles-signature,Visa Signature,Signature,No,Smiles (e&),500,0,5000,Smiles Points,"10 Smiles/AED Etisalat/Smiles/elGrocer (cap 25K/mo); up to 3 Smiles/AED international; up to 2 domestic","",AED 200 hotel discount + 90-day Smiles Unlimited,Yes,8,Yes,Yes,,,AED 500 annual fee (waive AED 24K spend); quarterly 5000 Smiles bonus; Smiles Unlimited BOGO; 20% Emaar
CBD,CBD Smiles Visa Platinum,https://www.cbd.ae/personal/cards/credit-cards/smiles-platinum,Visa Platinum,Platinum,No,Smiles (e&),199,0,5000,Smiles Points,"5 Smiles/AED Etisalat (cap 10K/mo); up to 2 Smiles/AED international; up to 1.5 domestic; 0.5 fuel/grocery/govt","",AED 200 hotel discount via Unravel,No,0,,Yes,,,AED 199 annual (waive AED 12K spend); quarterly 7500 Smiles on AED 27.5K spend; 500+ lifestyle; 20% Emaar; 5 supp cards
CBD,CBD Yes Rewards Credit Card,https://www.cbd.ae/personal/cards/credit-cards/cbd-yes-rewards,Visa Signature,Signature,No,ENOC/EPPCO,199,0,5000,Yes Rewards,"Up to 15% ENOC/EPPCO fuel (tiered: 3%<AED2500; 10% AED2500-9999; 15% AED10K+); up to 1% other","",20000 Yes Rewards (AED 200) new customers,Yes,8,Yes,,,,"AED 199 annual (waive AED 12K spend); fuel focused; multi-trip travel insurance; cinema & valet AED 5K+"
CBD,CBD Visa Platinum Credit Card,https://www.cbd.ae/personal/cards/credit-cards/visa-platinum,Visa Platinum,Platinum,No,,0,0,5000,CBD Rewards,"Up to 1.5 pts/AED; redeem Skywards miles/cashback/vouchers","",0% interest on quick cash & BT (6&12 months),No,0,,,,,"Free for life; ENTERTAINER 2-for-1; Cash on Call 90% for 36mo; 5 free supp cards; 500+ lifestyle"
CBD,CBD Visa Infinite Credit Card,https://www.cbd.ae/personal/cards/credit-cards/visa-infinite,Visa Infinite,Infinite,No,,0,0,15000,CBD Rewards,"Up to 3 pts/AED; redeem Skywards miles/cashback/vouchers","",Free year 1 (waive AED 100K annual spend),Yes,,,,,,4 golf rounds/mo (min AED 10K); 50% VOX 6 tickets/mo; valet; 20% Emaar; 15% Dubai Ice Rink
CBD,CBD Visa Platinum Travel Card,https://www.cbd.ae/personal/cards/credit-cards/cbd-visa-platinum-travel-card,Visa Platinum,Platinum,No,,0,0,5000,,"","50% cinema (incl F&B); 10% duty free; up to 5% airline; 3% international; 1% domestic; min AED 1500/mo",,"No",0,,Yes,2.99,3.85,"Free for life; 50% off 2 Novo Cinema/mo; travel cashback focus; 500+ lifestyle; ENTERTAINER 2-for-1"
CBD,CBD Visa Platinum Shopping Card,https://www.cbd.ae/personal/cards/credit-cards/cbd-visa-platinum-shopping-card,Visa Platinum,Platinum,No,,0,0,5000,,"","Up to 10% dept stores/apparel/sportswear; up to 5% jewellery/electronics/furniture; 1% other; min AED 1500/mo",,"No",0,,Yes,2.99,3.85,"Free for life; shopping cashback focus; 50% off 2 Novo Cinema/mo; 500+ lifestyle; ENTERTAINER 2-for-1"
CBD,CBD Al Islami Visa Infinite,https://www.cbd.ae/islami/personal/cards/credit-cards/visa-infinite,Visa Infinite,Infinite,Yes,,,,25000,CBD Rewards,Points/AED,,Profit-free BT 6 months,Yes,,,Yes,,,Min salary AED 25K or AED 400K deposit; 3 valet/mo; multi-trip Travel Takaful; ENTERTAINER; 20% Emaar; easy installment
CBD,CBD Al Islami Super Saver Visa Signature,https://www.cbd.ae/islami/personal/cards/credit-cards/super-saver,Visa Signature,Signature,Yes,,,,,,,"B.E.S.T cashback (Bills/Education/Supermarkets/Transport+Fuel)",,Yes,,Yes,Yes,,,Islamic B.E.S.T cashback; multi-trip Travel Takaful USD 500K; ENTERTAINER; 20% Emaar; fuel included
CBD,CBD Al Islami Visa Platinum,https://www.cbd.ae/islami/personal/cards/credit-cards/visa-platinum,Visa Platinum,Platinum,Yes,,0,,,,CBD Rewards,Points/AED,0% profit on BT 6 months,No,,,Yes,,,Islamic; free annual fee; Travel Takaful; ENTERTAINER; 20% Emaar; easy installment 3-12mo
Emirates Islamic,Emirates Islamic Switch Cashback Credit Card,https://www.emiratesislamic.ae/en/cards/credit-cards/switch-cashback-credit-card,Visa Signature,Signature,Yes,,299,0,,,"","Lifestyle: 4% super/dining/fuel/education (capped); 8% fuel domestic; Travel: 4% airlines/hotels/dining; switch monthly via app","",AED 500 cashback on AED 15K spend in 60 days,Yes,1200+,Yes,Yes,,,AED 299 (waive AED 30K); 2 golf/mo; meet & greet 2/yr; valet 1/mo; BOGO cinema 2/mo; Sharjah Ladies Club
Emirates Islamic,Amazon World Covered Card,https://www.emiratesislamic.ae/en/Personal-Banking/Cards/credit-cards/amazon-credit-card,Mastercard World,World,Yes,Amazon,0,0,15000,Amazon Reward Points,"Prime: up to 6% Amazon; 2.5% intl; 2% domestic. Non-Prime: up to 3% Amazon; 1% intl/domestic","",Up to AED 500 in 60 days (Prime AED 250+250; Non-Prime AED 200),Yes,8,Yes,Yes,,,Free; 1 Careem airport ride/yr; Costa at airports; IHG 15%; MakeMyTrip 25%; talabat 20% 1/mo; Reel BOGO 2/mo; golf 2/mo
Emirates Islamic,Amazon Platinum Credit Card,https://www.emiratesislamic.ae/en/Personal-Banking/Cards/credit-cards/amazon-platinum-credit-card,Mastercard Platinum,Platinum,Yes,Amazon,0,0,5000,Amazon Reward Points,"Prime: up to 6% Amazon; 2.5% intl; 2% domestic. Non-Prime: up to 3% Amazon; 1% intl/domestic","",Up to AED 500 in 60 days,Yes,4,Yes,Yes,,,Free; Costa at airports; Avis 20%+upgrade; MakeMyTrip 25%; talabat 20% 1/mo; Reel BOGO 2/mo; purchase protection USD 2K/claim
Emirates Islamic,Skywards Infinite Credit Card,https://www.emiratesislamic.ae/en/cards/credit-cards/skywards-infinite-credit-card,Visa Infinite,Infinite,Yes,Emirates Skywards,999,0,,Skywards Miles,"1 mile/USD domestic; 1.5 miles/USD intl; 2 miles/USD Emirates; 0.5 grocery; 0.25 fuel/telecom/real estate","",Complimentary Skywards Silver 12 months,Yes,2,Yes,Yes,,,AED 999 (waive AED 30K in 180 days); golf unlimited AED 10K+; valet 2/mo; cinema BOGO 3/mo; meet & greet 2/yr; Sharjah Ladies Club
Emirates Islamic,Skywards Black Credit Card,https://www.emiratesislamic.ae/en/cards/credit-cards/skywards-black-credit-card,Visa Infinite,Infinite,Yes,Emirates Skywards,,0,,Skywards Miles,"Up to 1.5 miles/AED domestic; up to 2 miles/USD intl; up to 3.5 miles/USD Emirates","",100000 bonus miles,Yes,2,Yes,Yes,,,Metal card; Skywards Silver base; Gold fast-track AED 5K/Emirates; airport transfers 4/yr; valet 3/mo; golf unlimited; VOX BOGO 4/mo; baggage delay USD 500; loss USD 2.5K
Emirates Islamic,Emarati Credit Card,https://www.emiratesislamic.ae/en/cards/credit-cards/emarati-card,Visa,Standard,Yes,,0,0,,EI SmartMiles,"Up to 3.75 SmartMiles/AED intl; up to 2.50 domestic","",Up to 150000 SmartMiles + AED 1500 on AED 30K spend,Yes,Unlimited,Yes,Yes,,,UAE Nationals only; profit 3.59%/mo; unlimited lounge; talabat 50% 2x/mo; valet 2/mo; Sharjah Ladies Club; Roxy BOGO 2/mo; concierge
Emirates Islamic,Flex Credit Card,https://www.emiratesislamic.ae/en/Personal-Banking/Cards/credit-cards/flex-card,Visa,Standard,Yes,,,,,,EI SmartMiles,"Up to 2.25 SmartMiles/AED intl; up to 1.25 domestic","",10000 SmartMiles,No,0,Yes,Yes,,,Transfer to 7 programmes (Air Arabia/Etihad/Marriott/Qatar/Emirates/Emaar/Smiles); Reel BOGO 2/mo; hotel collection 900+; meet & greet 2/yr
Emirates Islamic,Flex Elite Covered Card,https://www.emiratesislamic.ae/en/cards/credit-cards/flex-elite-card,Visa Infinite,Infinite,Yes,,,,,,EI SmartMiles,"Up to 3.75 SmartMiles/AED intl; up to 2.50 domestic","",175000 SmartMiles (75K AMF + 100K on AED 20K spend),Yes,Unlimited,Yes,Yes,,,Annual fee triggers 75K miles; unlimited lounge; golf unlimited AED 10K; valet 2/mo; cinema BOGO 3/mo; Sharjah Ladies Club; Roxy 20% off
Emirates Islamic,Etihad Guest Platinum Credit Card,https://www.emiratesislamic.ae/en/cards/credit-cards/etihad-guest-platinum-credit-card,Visa Platinum,Platinum,Yes,Etihad Airways,,,,,Etihad Guest Miles,"2 miles/USD Etihad; 1.5 miles/USD intl; 1 mile/USD EEA/domestic; 50% cinema cashback max AED 50","",5000 Etihad miles on AMF,Yes,1,Yes,Yes,,,Etihad Platinum base; Gold on AED 4500/Etihad; 10% miles discount on AED 50K anniversary; golf 2/mo; meet & greet 2/yr; valet 1/mo; 2 inflight Wi-Fi vouchers/yr
Emirates Islamic,RTA Credit Card,https://www.emiratesislamic.ae/en/cards/credit-cards/rta-credit-card,Visa/Mastercard,Platinum,Yes,RTA,,,,,,"10% RTA transport & fuel (max AED 75/mo each); 2.25% intl; 1.25% domestic; 0.56% EEA; min AED 1000/statement","",,"No",0,Yes,Yes,,,Built-in Nol chip; auto top-up Salik; RTA transport focus; Reel BOGO 2/mo; purchase protection USD 5K/incident; cashback 2yr validity
Emirates Islamic,Emirates Islamic Cashback Credit Card,https://www.emiratesislamic.ae/en/cards/credit-cards/cashback-card,Visa,Standard,Yes,,,,,,,"5% telecom (Etisalat/du); 5% electronics; up to 1% general; 50% cinema max AED 100/mo AED 5K spend","",,"Yes",1,,,,,Lounge 1 free visit/yr; ENTERTAINER; talabat discounts; valet 2/mo; luxury hotel collection; meet & greet 2/yr; BT 0% 6mo
ADCB,ADCB TouchPoints Infinite Credit Card,https://www.adcb.com/en/personal/cards/credit-cards/touchpoint-ic,Visa Infinite,Infinite,No,,1200,0,30000,ADCB TouchPoints,"1.5 pts/AED standard; 0.4 supermarkets/auto/QSR; 0.2 fuel/edu/govt; 15K bonus pts on AED 15K/mo","",AED 1200 Expedia hotel voucher (2 nights on AMF payment),Yes,Unlimited,Yes,Yes,,,"Golf (min AED 5K spend); VOX BOGO 4 tickets/mo; talabat 20% 4x/mo; Noon 15% off; Avis 35% off; 24hr concierge; fraud protection USD 3K/5K; comprehensive travel insurance"
ADCB,ADCB TouchPoints Platinum Credit Card,https://www.adcb.com/en/personal/cards/credit-cards/touchpoint-platinum-cc,Visa or Mastercard,Platinum,No,,0,0,5000,ADCB TouchPoints,"1 pt/AED standard; 0.4 supermarkets/auto/QSR; 10K bonus pts on AED 10K/mo","",Free year 1,Yes,4,Yes,Yes,,,"Golf (min AED 5K); VOX BOGO 4 tickets/mo; talabat 20% 2x/mo; Avis 20% off; credit shield"
ADCB,ADCB TouchPoints Titanium/Gold Credit Card,https://www.adcb.com/en/personal/cards/credit-cards/touchpoint-tg-cc.aspx,Visa Gold / Mastercard Titanium,Titanium/Gold,No,,0,0,5000,ADCB TouchPoints,"0.5 pts/AED standard; 0.4 supermarkets/QSR; 5K bonus pts on AED 5K/mo","",,"No",0,No,No,,,"Free for life; VOX BOGO 2 tickets/mo; talabat 20% 1x/mo; Avis 20% off; 0% school fee EPP"
ADCB,ADCB 365 Cashback Credit Card,https://www.adcb.com/en/personal/cards/credit-cards/365-cashback-card,Visa,Standard,No,,383,0,5000,,,"6% dining+online food; 5% fuel/Salik/streaming/AI subscriptions; 3% groceries; 1% local retail; 0.5% select; max AED 1000/mo; min AED 5000 spend",AED 365 cashback on AED 5K spend in 45 days,No,0,No,No,,,"Free year 1; VOX BOGO 4 tickets/mo; Avis car rental; 0% school fee EPP; streaming cashback (Netflix/Prime/Disney+/ChatGPT)"
ADCB,ADCB Essential Cashback Credit Card,https://www.adcb.com/en/personal/cards/credit-cards/essential-cashback-credit-card,Mastercard,Standard,No,,,0,5000,,,"1.25% spend ≥AED 5K; 1% spend <AED 5K; 0.75% select categories; max AED 1000/mo",Up to AED 350 via digital channels,Yes,4,No,Yes,,,"25+ lounges via Mastercard Travel Pass; Reel BOGO 2 tickets/mo; talabat 20% 1x/mo; purchase protection; Avis 20%+upgrade"
ADCB,talabat ADCB Credit Card,https://www.adcb.com/en/personal/cards/credit-cards/talabat-credit-card,Mastercard,Standard,No,talabat,0,0,5000,,"","35% back talabat (first 10 orders/mo; cap AED 35/order; AED 350/mo max; min AED 2500 retail spend); 1.25% all other retail",Up to AED 750 talabat credit on AED 5K spend in 45 days,No,0,No,No,,,"Free for life; personalised card design; unlimited free talabat Pro delivery; 35% food delivery cashback focus"
ADCB,ADCB Traveller Credit Card,https://www.adcb.com/en/personal/cards/credit-cards/traveller-credit-card,Mastercard World Elite,World Elite,No,,,,20000,,,"10% airline tickets; 10% hotel stays; 50% movie tickets online; 1.5% other domestic; max AED 1500/mo",AED 2000 Expedia hotel voucher on AMF + AED 15K spend in 60 days,Yes,14,Yes,Yes,0,,"14 lounge visits/yr; 4 airport transfers via Careem/yr; DISCOVERY Titanium hotel membership; golf (Arabian Ranches/ADGC); concierge 24/7; 0% FX fee; comprehensive travel insurance"
ADCB,ADCB LuLu Platinum Credit Card,https://www.adcb.com/en/personal/cards/credit-cards/adcb-lulu-credit-card,Mastercard Platinum,Platinum,No,LuLu Hypermarket,0,0,8000,LuLu Points,"8 pts/AED LuLu; 1.25 pts/AED other; 0.4 supermarkets/QSR; 0.2 fuel/edu/govt/telecom; 5K pts = AED 50","",,"Yes",4,No,No,,,"Free for life; 4 lounge visits/yr via Mastercard Travel Pass; Reel BOGO 2 tickets/mo; talabat 20% 1x/mo; LuLu points redeemable at checkout"
ADCB,ADCB Islamic TouchPoints Infinite Credit Card,https://www.adcb.com/en/islamic/personal/cards/credit-cards/touchpoint-ic,Visa Infinite,Infinite,Yes,,1200,0,30000,ADCB TouchPoints,"1.5 pts/AED standard; 0.4 supermarkets/auto/QSR; 0.2 fuel/edu/govt; 15K bonus pts on AED 15K/mo","",AED 1200 Expedia hotel voucher on AMF,Yes,Unlimited,Yes,Yes,,,"Islamic (Shari'ah-compliant Tawarruq); golf; VOX BOGO 4/mo; talabat 20% 4x; Noon 15%; Avis 35%; concierge; Takaful credit shield; comprehensive travel insurance"
ADCB,ADCB Islamic TouchPoints Platinum Credit Card,https://www.adcb.com/en/islamic/personal/cards/credit-cards/touchpoint-platinum-cc,Visa Platinum,Platinum,Yes,,0,0,5000,ADCB TouchPoints,"1 pt/AED standard; 0.4 supermarkets/auto/QSR; 10K bonus pts on AED 10K/mo","",Free year 1,Yes,3,Yes,Yes,,,"Islamic (Tawarruq); golf; VOX BOGO 4/mo; talabat 20% 2x; Avis; Takaful credit shield; purchase protection"
ADCB,ADCB Islamic TouchPoints Titanium/Gold,https://www.adcb.com/en/islamic/personal/cards/credit-cards/touchpoint-tg-cc,Visa Gold,Titanium/Gold,Yes,,0,0,5000,ADCB TouchPoints,"0.5 pts/AED standard; 5K bonus pts on AED 5K/mo","",,"No",0,No,No,,,"Islamic (Tawarruq); free for life; VOX BOGO 2/mo; Avis 20%; 0% profit school fee EPP; Takaful credit shield"
ADCB,ADCB Islamic 365 Cashback Card,https://www.adcb.com/en/islamic/personal/cards/credit-cards/365-cashback-card,Mastercard,Standard,Yes,,383,0,5000,,,"6% dining+online food; 5% fuel/Salik/streaming/AI subs; 3% groceries; 1% local retail; max AED 1000/mo",AED 365 cashback on AED 5K spend in 45 days,No,0,No,No,,,"Islamic (Tawarruq); free year 1; VOX BOGO 4/mo; streaming cashback; 0% profit school fee EPP"
